name,sub_head,view_count,tel,tag,info,address,Latitude,Longitude
서울 동대문 닭한마리 골목,DIY 소스와 함께 더욱 맛있는 닭한마리 골목,8900,tel:02-2236-9135,"관광지, 닭한마리, 동대문닭한마리, 동대문닭한마리골목, 동대문닭한마리골목, 먹자골목, 수도권, 숨은맛집, 음식, 음식거리, 전국맛집, 체험, 휴식공간, 휴식여행, 휴식하기, 휴식하기좋은곳","의류 상가가 꽉꽉 들어찬 빌딩들이 즐비한 동대문, 이제는 아시아 최대의 의류상가 지대라고 해도 지나치지 않는 곳이 동대문 주변 지역이다. 이곳이 지금의 모습을 갖추게 된 뒤에는 동대문 원단시장, 평화시장과 인근에 자리잡은 시장 사람들이 있었다. 30여 년 전 그들의 허기를 달래주고 마음을 녹여주던 곳이 지금의 닭한마리 골목이었다. 지하철 4호선 동대문역 8, 9번 출구로 나와 직진하다가 기업은행 건물을 끼고 좌회전 하면 일방통행길이다. 그 길 오른쪽에는 오늘도 동대문 종합시장과 인근 시장으로 드나드는 물품을 나르는 택배오토바이들이 즐비하게 서 있다. 그 길 중간 쯤 오른쪽에 보면 덕성각이라는 중국요리집이 보이는데 그 골목으로 들어가면 닭한마리집들이 나온다.

그 골목 닭한마리집들은 짧게는 5년부터 길게는 30년이 넘는 세월 동안 그 자리를 지키고 있다. 그러나 지금의 식당이 있기 전 개인집에서 닭칼국수를 팔던 시절까지 거슬러 올라가면 그 골목 닭한마리집의 역사는 30년 보다 훨씬 더 전으로 거슬러올라가야 한다. 당시 닭칼국수를 팔던 할머니집을 28년 전에 인수해서 지금까지 ''닭한마리''를 팔던 식당 주인의 이야기를 들어보면 할머니 한 분이 지금의 ''닭한마리''식의 요리가 아니라 닭고기를 넣고 칼국수를 끓여 팔았다고 한다. 기와 얹은 한옥집 마루와 방에서 손님을 받았다. 지금의 사장은 그 집을 고스란히 인수해서 당시 마당이었던 곳에 홀을 만들고 식탁을 놓았다. 지금 남아 있는 집들 가운데서 가장 오래된 집은 ''진옥화 닭한마리''이다. 그러나 식당에 불이 났고 2009년 2월 재건축 하였다.

이 집 또한 처음에는 지금의 ''닭한마리''식의 요리가 아니라 ''닭칼국수''를 팔았다. 그러니까 동대문 닭한마리 골목 요리의 원조는 닭칼국수인 셈이다. 지금도 이 골목 식당 간판이나 현관, 유리창에는''닭칼국수''라는 단어가 남아 있다. 또한 ''닭한마리''와 곁들여 먹는 메뉴에 칼국수 사리가 남아 있는 것도 그 증거인 셈이다. 어떻게 보면 칼국수에 닭고기가 들어간 것에서 닭한마리를 육수에 넣고 끓이는 닭요리에 칼국수가 부재료로 들어가는, 주객이 전도된 요리이기도 하다. ''닭한마리'' 요리는 집집마다 거의 비슷하다. 다른 게 있다면 닭고기를 찍어먹는 소스의 맛과 육수, 선택해 넣어 먹을 수 있는 부재료 등이다. 그래서 이골목 집집마다 소스와 육수의 비빔을 반만 공개한다. 나머지는 비밀이란다. 소스의 주재료인 고춧가루가 좋아야 한다. 맵기만한 고춧가루가 아니라 매우면서도 풍부한 미감과 감칠맛을 머금고 있어야 한다.

또한, 육수에 들어가는 재료도 엄나무, 인삼 등 집 마다 다르다. 큰 양푼에 육수 가득 붓고 그 속에서 닭한마리를 통째로 끓인다. 닭은 살짝 삶아서 나오지만 식탁 위 간이 가스렌지 위에서도 푹 끓이는 게 좋다. 왜냐하면 감자와 떡, 인삼, 대추, 버섯 등 부재료들의 맛이 우러나 뒤엉켜 한 맛을 내야 하기 때문이다. 그렇게 끓고 나면 고기와 부재료를 건저 먹은 뒤 남은 육수에 칼국수 사리를 넣어 끓여 먹는 것으로 닭한마리의 만찬은 끝난다. 지금도 이 골목 단골의 반 이상이 동대문 주변 시장 사람들이다. 소문이 일본까지 퍼져 일본 여행자들도 꽤 많이 찾는다. 또한, 맛골목을 좋아하는 젊은 연인들이 인터넷에서 정보를 얻고 팔품을 팔아 이 골목을 찾는다. 그들의 입맛에 30년 전 ''닭한마리''요리가 다시 태어나고 있다.",서울특별시 종로구 종로40가길 14,37.5703514,127.0058888
소소한 풍경,가족들과 함께 퓨전 한정식,6100,02-395-5035,"맛집, 부암동맛집, 부암동소소한풍경, 부암동한정식, 소소한풍경, 음식, 전망_좋은, 퓨전한정식","※ 영업시간 12:00 ~ 22:00

퓨전 한정식 전문 소소한 풍경은 서울 종로구 부암동 창의문 인근에 있다. 다양한 종류의 한식 코스요리가 제공되며, 개별적으로 메뉴 주문도 가능하다.",서울특별시 종로구 자하문로40길 75,37.5936419,126.9660341
금강산감자탕 방이본점,뚝배기에 라면이 들어간 뼈해장국맛집,3600,02-425-4001,"감자탕맛집, 감자탕맛집, 금강산감자탕, 방이동맛집, 뼈해장국, 뼈해장국, 송파구맛집, 송파구맛집, 음식","금강산감자탕 방이본점은 8호선 몽촌토성역 인근에 위치에 있다. 건물 뒤편에 넓은 주차장이 있다. 동네 맛집으로 알려진 곳답게 신발을 각자 신발장에 보관하도록 신발장이 있다. 매장 안 벽면에는 이곳을 다녀간 유명 인사들의 사인이 도배 되어 있다. 아이들을 위한 오락실과 놀이방이 구비되어 있어 가족들도 편히 식사할 수 있다. 이 집의 대표 메뉴는 감자탕으로 한방감자탕, 부대감자탕, 등뼈찜이 있고 각종 사리와 뼈 추가도 할 수 있다. 1인 메뉴로 해장국과 라면이 들어간 뼈해장국도 인기 메뉴이다. 밑반찬으로 김치, 깍두기, 고추, 당근, 쌈장, 소스가 나온다. 어린이 메뉴로 짜장밥과 왕만두도 있다. 식당 인근에 석촌호수, 카페거리, 대형 테마파크 놀이동산이 있어 연계 관광을 할 수 있다.",서울특별시 송파구 위례성대로 34,37.5157974,127.1160149
장충동 족발 골목,장충동 족발의 역사가 시작된 곳,3200,02-2236-9135,"골목시장, 관광지, 남녀노소, 먹자골목, 서울맛집투어, 술안주, 숨은맛집, 음식거리, 이색거리, 장충동맛집, 전국맛집, 족발골목, 체험, 친구와함께","52년 전 지금의 장충동 족발거리에서 조금 떨어진 곳에 만정 빌딩이라는 건물이 있었는데 그곳에 두 개의 족발집이 문을 열면서 장충동 족발집의 역사는 시작됐다. 그 두 족발집은 1년 터울을 두고 문을 열었고, 지금까지 족발거리에서 장사를 하고 있다. 맨 처음 문을 연 한 식당에서 처음부터 족발을 메뉴에 올린 것은 아니다. 빈대떡과 만두를 주메뉴로 식사와 술을 팔던 그 식당에서 손님들이 든든하면서도 싸게 먹을 수 있는 술안주를 원했고, 주인아주머니는 어릴 때 기억을 되살려 족발을 안주에 올리게 됐던 것이다. 그 집 아주머니의 고향은 평북 곽산, 그러니까 평안북도에서 먹었던 족발 요리가 장충동에 터를 잡게 됐다. 그 아주머니의 어머니가 겨울이면 돼지를 통째로 잡아 걸어 놓고 고기 요리를 해줬는데 그중 꼬들꼬들하게 마른 족발 요리의 맛이 아주머니의 입맛과 마음에 남아있었다. 이렇게 시작된 장충동 족발은 70년대 후반과 80년대 초반을 거치면서 이름을 타게 되고 덩달아 지금의 족발거리에 식당들이 줄지어 생기기 시작했다. 이렇게 만들어지기 시작한 게 장충동 족발거리다. 지금도 큰길과 좁은 골목에 10여 집이 옹기종기 모여 옛 맛을 지켜가고 있다. 그때부터 지금까지 사람들의 변치 않는 사랑을 받으며 수십 년 동안 족발거리의 명성을 지켜온 것은 푸짐하고 맛 좋은 족발 때문일 것이다. 족발을 만드는 집마다 그 맛의 차이가 조금씩 난다는 게 이 거리의 아주머니들 설명이다. 어느 집이 맛있다고 이야기할 수 없는 것은 개인의 입맛과 취향이 다르기 때문. 족발 거리에서 족발과 함께 빈대떡과 파전 등 곁들여 나오는 다른 음식도 즐겨볼만하다.",서울특별시 중구 장충단로 176,37.5597641,127.0052075
삼청동수제비,비가 올 때 가장 먼저 생각나는 음식,2800,02-735-2965,"감자전, 감자전, 맛집, 삼청동맛집, 삼청동수제비, 서울맛집, 수도권, 수제비, 수제비, 수제비맛집, 연중무휴, 음식, 종로맛집, 쭈꾸미볶음, 찹쌀_새알_옹심이, 파전, 파전","지하철 3호선 경복궁역에 하차하여 경복궁 담을 끼고 삼청동 길로 들어서면 한아름도 넘는 가로수 길이 펼쳐진다. 계절마다 색깔을 바꿔가며 때로는 더위를 때로는 낙엽을 날리는 이길을 지나 삼청터널 쪽으로 올라가면 삼청동 수제비집이 있다. 국무총리 공관 옆의 벽돌건물이 이 음식점인데 일본 잡지에도 소개가 되어 이곳을 찾는 일본인도 심심찮게 볼 수 있다. 호박을 송송 썰어넣고, 조갯살과 감자를 넣어 항아리에 담아 내오는 수제비가 이 집의 대표음식이다. 구수하고 시원한 국물맛과 변하지 않는 음식 맛에 항상 손님이 끊이지 않는다. 또, 아무것도 넣지 않고 감자전분만으로 부쳐 내오는 감자전에 동동주도 많이 찾는 메뉴라고 한다.",서울특별시 종로구 삼청로 101-1,37.5846099,126.9819084
청수정,홍합밥과 함께 맛있는 한상,2800,02-738-8288,"맛집, 불고기덮밥, 뽈떼기찜, 뽈떼기탕, 삼청동밥집, 음식, 제육볶음, 홍합밥, 홍합밥정식, 홍합비빔밥",삼청동 길의 중심부에 자리한 한식집 청수정은 삼청동 길을 산책하다 한 번쯤 들러 부담 없이 식사를 할 수 있는 음식점이다. 오래된 한옥 건물을 개조해서 만든 소박한 안채는 시골집에 놀러 온 것 같다. 울릉도 전통음식인 홍합밥을 나름의 방식으로 개발한 홍합밥정식은 평소엔 먹어볼 수 없는 특별 메뉴이다.,서울특별시 종로구 삼청로 91,37.5835487,126.9816991
[백년가게]선천집,오마이 손맛 보러 오시라요,2800,02-734-5674,"맛집, 백년가게, 불고기, 서울시, 음식, 이북음식, 종로구, 평안도, 한식, 한정식","[중소벤처기업부 2018년도 ''백년가게''로 선정]
평안북도 선천 출신의 사장님이 무공해 재료들로 직접 만드는 건강한 한정식을 만날 수 있는 곳. 1971년부터 47년 동안 평안도의 김치맛과 장맛을 유지하기 위해 남한산성에 30여개의 항아리를 두고 직접 장을 담가 맛을 이어나가고 있다. 17찬이 제공되는 한정식이 대표 메뉴. 연세 많으신 단골고객의 불편함을 해결하고자 좌식테이블에서 입식 테이블로 교체하였다.

정보제공 : 소상공인협회 (Tel : 042-363-7981)",서울특별시 종로구 인사동14길 5,37.574853,126.9844423
동작구름카페,한강뷰 카페,2600,02-780-0969,"동작구름카페, 동작대교카페, 음식, 한강뷰맛집, 한강뷰카페, 한강전망쉼터, 한강카페","서울 동작대교 중간에 있는 동작구름카페는 한강 교량 전망 쉼터 중 최고의 한강 조망 위치에 있다. 대중교통 이용자는 지하철역과의 거리가 가까워 이용이 용이하며, 승용차 이용자를 위한 주차장이 완비되어 있어서 시민들이 많이 이용하고 있다. 내부 천정에는 별자리 불빛 및 아로마 향기로 많은 시민이 편안한 휴식공간으로 즐길 수 있는 한강의 명소이다. 옥상에는 시원한 한강 바람을 맞으며 한강 전경을 볼 수 있는 루프탑 공간을 조성해 놓았다. 동작대교 전망카페는 반포대교 무지개 분수쇼와 환상의 섬 플로팅 아일랜드의 야경을 볼 수 있는 최고의 경관을 자랑하고 있다. 서쪽으로는 63빌딩, 쌍둥이 빌딩과 어우러진 석양의 황홀한 하늘과 구름, 그리고 탁 트인 한강은 그 자체가 답답한 도시 생활에서 가슴이 뻥 뚫린 시원함을 자연스럽게 느낄 수 있다. 1층 카페 공간, 2층 편의점, 3층 서점, 4층 북카페, 5층 야외 옥상 전망대가 있으며, 5층 전망 카페는 저녁 여의도 쪽으로 붉은 해가 떨어지는 환상적인 노을을 담으려는 이들에게는 가장 사랑받는 출사지다. 어느 층에서나 둥그런 유리 통창으로 둘러싸여 있어 한강의 풍경을 마음껏 감상할 수 있으며, 편의점에서는 커피와 맥주, 와인 등을 즐길 수 있다. 지하철 4호선 동작역 1번 출구 방향으로 도보 3분 거리에 있다.",서울특별시 서초구 동작대로 350,37.5057711,126.9828995
토속촌삼계탕,대통령도 즐겨찾던 삼계탕집,2400,02-737-7444,"맛집, 삼계탕, 음식, 종로맛집, 토속촌_오골계_삼계탕, 토속촌삼계탕, 해물파전","[전통 삼계탕 계승 및 발전, 신토불이 재료 사용 업소]
경복궁역에 위치한 ''토속촌 삼계탕''은 서울 시내에서 모르는 사람이 없을 정도로 유명한 삼계탕집이다. 특히 故 노무현 대통령이 즐겨 찾던 곳으로 소문이 나서 그 유명세가 더욱 커졌다. 이 집에서는 토종닭, 4년산 인삼, 밤, 대추, 마늘, 생강, 율무, 들깨, 호박씨, 해바라기씨, 호두, 잣, 검정깨 등의 재료를 농장에서 직접 키우고, 생산한다고 한다.
식사 시간에 찾아가면 줄을 서서 기다려야 하지만 내부가 워낙 크기 때문에 오래 기다릴 염려는 없다. 토속촌에는 삼계탕 외에도 오골삼계탕, 옻닭, 파전, 전기 통닭구이 등 메뉴가 다양하다.",서울특별시 종로구 자하문로5길 5,37.5776249,126.9716821
런던베이글뮤지엄,가장 가까운 런던 속 베이글 뮤지엄,2400,,"2023_설날_디저트맛집, MZ세대, 런던베이글뮤지엄, 베이글, 베이글맛집, 비주얼맛집, 안국역맛집, 음식",런던베이글뮤지엄은 베이글 전문점으로 안국역 근처에 위치해 있으며 멀리서도 긴 웨이팅으로 한눈에 찾기 쉽다. 아침 8시 오픈임에도 불구하고 오픈시간부터 웨이팅이 있는 맛집이다. 다양한 종류의 베이글이 있으며 테이크아웃 뿐만 아니라 커피와 함께 매장에서 식사도 가능하다. 예약은 테이블링 앱으로 등록할 수 있다.,서울특별시 종로구 북촌로4길 20 연화빌딩,37.579247,126.9863649
