name,sub_head,view_count,tel,tag,info,address,Latitude,Longitude
북촌 8경,,8800,02-2148-4161,"감성사진, 경치좋은곳, 관광지, 근대한옥, 데이트장소추천, 북촌8경, 사진찍기좋은곳, 서울여행, 야간관광100선, 역사, 역사공부, 역사관광지, 역사를품은곳, 커플데이트, 한옥숙박","북촌은 원래 청계천과 종로의 윗동네를 이르는 지명이다. 지금의 남산에 해당하는 종로의 아랫동네는 남촌이라 했다. 북촌에는 조선시대 왕족이나 권세있는 사대부들이 살았고, 남촌에는 하급 관리들이 살았다. 근래에는 경복궁과 창덕궁 사이의 한옥마을을 북촌이라 부른다. 한옥의 멋과 분위기가 살아 있는 북촌 골목길 곳곳에는 북촌 8경이 있다. 이 곳에는 방문한 사람들을 위해 사진 촬영대(포토 스폿)을 마련해 놓았다. 한옥의 빛깔과 느낌을 가장 잘 담아낼 수 있는 북촌의 8경을 직접 둘러보고 사진을 촬영하면서 즐거운 시간을 보낼 수 있다.

[북촌8경]
* 북촌1경 – 창덕궁전경
돌담 너머로 창덕궁의 전경이 가장 잘 보이는 장소이다. 북촌문화센터에서 나와 북촌 길 언덕을 오르면 첫 번째 포토 스팟이 나온다.
* 북촌2경 – 원서동공방길
창덕궁 돌담길을 따라 걷다보면 불교미술관과 연공방을 지나 골목 끝에 궁중음식원의 정갈한 마당과 기와문양의 담이 보이는 그 자리에 북촌의 두 번째 포토스팟이 보인다.
* 북촌3경 – 가희동 11번지 일대
아름다운 한옥과 전통문화를 체험할 수 있는 여러 공방이 자리하고 있다.
* 북촌4경 – 가회동31번지언덕
가회동31번지 일대를 한눈에 볼 수 있는 지점. 수많은 기와 지붕과 함께 북촌 꼭대기 이준구 가옥까지 한눈에 들어온다.
* 북촌5경 – 가회동골목길(내림)
키 큰 회나무집을 돌아 올라가면 처마를 서로 맞대고 빼곡하게 늘어선 예스런 한옥들이 있다.
* 북촌6경 – 가회동골목길(오름)
북악을 닮은 기와지붕들이 어깨를 나란히 하고 있는 가회동 31번지 한옥 골목길을 따라 올라가면 언덕길 막바지에 여섯 번째 포토 스팟이 보인다.
* 북촌7경 – 가회동31번지
북촌의 일곱 번째 장소는 한옥이 주는 고즈넉함과 작은 여유로움을 만날 수 있는 소박한 골목 전경이다.
* 북촌8경 – 삼청동돌계단길
빼곡한 한옥들의 지붕과 경복궁, 인왕산, 청와대의 조망이 좌측으로 펼쳐지는 화개1길을 따라 오르다보면 삼청동길로 내려가는 돌층계길이 있다. 돌계단길을 끝까지 내려가면 북촌의 마지막 여덟 번째 포토 스팟이 있다.",서울특별시 종로구 계동길 37,37.5790699,126.9864283
롯데호텔 월드,,7100,02-419-7000,"롯데호텔월드, 서울숙소, 수도권, 숙박, 호캉스즐기기, 호텔","리조트 형 비즈니스 호텔인 롯데호텔월드는 서울 강남의 요지, 잠실에 위치해 뛰어난 접근성을 자랑한다. 세계 최대 규모의 실내놀이공원인 롯데월드 어드벤쳐, 아시아 최대 규모의 멀티플렉스 롯데월드몰과 바로 연결되어 있으며, 아름답고 자연친화적인 석촌호수가 인접해 뛰어난 경관을 자랑한다.
국제회의와 특별한 행사를 위한 다양한 연회장과 회의실을 구비하고 있으며, 롯데월드 어드벤처의 캐릭터인 ''로티''와 ''로리''를 테마로 꾸며진 캐릭터룸을 통해 특별함을 느낄 수 있다. 이처럼 롯데호텔월드는 비즈니스와 여가, 체험과 휴식을 한 곳에서 모두 경험할 수 있는 최고의 호텔이다.",서울특별시 송파구 올림픽로 240 롯데월드,37.5111158,127.098167
호텔큐비(호텔QB) [한국관광 품질인증/Korea Quality],수준 높은 객실과 서비스를 제공하는 부티크&비즈니스호텔,3200,02-743-1294,"서울숙소, 서울여행, 서울호텔, 품질인증업소_전체보기, 한국관광품질인증, 한국관광품질인증_호텔, 호텔","호텔큐비(QB)는 서울 동대문역에서 도보 3분 거리에 위치하고 공항버스가 지나가는 길목에 있어 교통이 편리하다. 객실은 1인 여행객을 위한 싱글룸부터 쿼드룸까지 다양하고, 스튜디오와 피팅룸이 있어 피팅촬영이 가능하다. 전자레인지, 정수기, 냉장고 등이 구비된 카페도 있다. 여행 편의를 위해 맞춤 여행 컨설팅 및 무료 수하물 보관 서비스를 제공한다. 인근에 동대문역사문화공원, 패션도매상가, 동묘 벼룩시장 등이 있다.",서울특별시 종로구 종로 322-10,37.5719198,127.0134704
호텔 카푸치노,매력적인 어반 라이프스타일을 경험하다,2900,02-2038-9501,"반려견동반여행지, 서울숙소, 서울호텔, 숙박, 숙박쿠폰, 애견동반숙소, 연인과함께, 친구와함께, 친환경호텔, 카푸치노호텔, 호캉스, 호캉스즐기기","PLEASANT STAY, JOYFUL IMPACT!

많은 것이 새롭지만 모든 것이 매력적인 어반 라이프스타일 Urban Lifestyle을 경험할 호텔 카푸치노에 오신 것을 환영한다. 어반 라이프스타일 호텔을 추구하는 호텔 카푸치노는 젊고 합리적인 품격 그리고 세심한 배려로 이곳을 방문하는 게스트들이 공감할 수 있는 많은 이야기를 담고 있다.

또한, 호텔 카푸치노는 호텔 비즈니스가 어떻게 사회에 공헌할 수 있는지, 그리고 게스트들과 더불어 공유 가치의 경험을 얼마나 유쾌하게 즐길 수 있는지를 제시하는 소셜라이징 & 쉐어링 스페이스 Socializing & Sharing Space를 꿈꾸고 있다. 호텔 카푸치노. 휴식과 자유 그리고 책임의 가치를 아는 사람들과 함께 한다.

호텔 카푸치노는 악마가 와도 착해질 수 있는 호텔, 잠만 자고 가도 착해질 수 있는 호텔이라는 컨셉으로 CAPPUCCINO SHARED VALUE PROGRAM(CSV)를 하고있다.
객실의 모든 목욕용품은 1회용 용기가 아닌 디스펜서에 담겨있다. 디스펜서에 담긴 독일의 친환경 명품 브랜드의 제품으로 기분좋은 샤워를 즐기는 게스트는 친환경 프로그램에 동참하게 된다.
이 외에도 호텔 카푸치노에 묵는 게스트들은 다양한 방법으로 친환경 운동에 동참할 수 있다. 카페 카푸치노의 스페셜 카푸치노, 레스토랑 핫이슈의 엔젤 메뉴 그리고 루프탑 바의 엔젤 칵테일까지 다양한 Angel menu 주문시 수익금의 일부는",서울특별시 강남구 봉은사로 155,37.5068808,127.0314816
화운[한국관광 품질인증/Korea Quality],,2900,0507-1373-2457,"독채한옥, 서울숙소, 서울여행, 서울한옥, 숙박, 취사가능, 품질인증업소_전체보기, 한국관광품질인증, 한국관광품질인증_한옥, 한옥","화운은 서울 종로 삼청동에 위치한 감성 한옥스테이로, 독채로 대여해 프라이빗하게 휴식을 취할 수 있는 공간이다. 지대가 높아 북악산과 인왕산, 청와대, 삼청동길까지 보이는 경치가 일품이다. 빔프로젝트가 설치되어 있어 영화를 즐기거나, 마당에 있는 자쿠지에서 족욕이나 반신욕으로 피로를 풀기에 좋다.",서울특별시 종로구 북촌로11다길 42,37.5839145,126.982701
일독일박 [한국관광 품질인증/Korea Quality],툇마루에 걸터앉아 족욕을 즐기고 싶다면,2400,0504-0904-2340,"독채한옥, 서울숙소, 서울여행, 서울한옥, 조식가능, 취사가능, 품질인증업소_전체보기, 한국관광품질인증, 한국관광품질인증_한옥, 한옥","서울 서촌마을에 자리한 일독일박은 근대 한옥을 감각적으로 새단장한 독채 한옥스테이다. 중정을 두고 침실, 주방, 식당, 다락이 ㄷ자 구조를 이룬다. 중정에는 아담한 족욕탕이 있어 툇마루에 걸터앉아 족욕을 즐길 수 있다. 침실에는 퀸 사이즈 침대가 놓여 있고, 식당에는 큰 탁자가 있어 책을 읽고 담소를 나눌 수 있다. 다락 공간도 있어 작은 천창으로 하늘을 보며 잠들 수 있다. 주방에 취사도구가 있고 화장실에 욕조도 있다.",서울특별시 종로구 필운대로3길 11-1,37.5784867,126.9685485
락고재 서울 북촌 한옥호텔[한국관광 품질인증/Korea Quality],,2000,02-742-3410,"서울숙소, 서울여행, 서울한옥, 조식가능, 품질인증업소_전체보기, 한국관광품질인증, 한국관광품질인증_한옥, 한옥","락고재 서울 북촌한옥마을은 인간문화재 정영진 옹이 130년 역사를 가진 한옥을 개조한 전통문화 공간이다. 단아한 솟을대문, 전통 기와, 담장, 정자, 연못, 장독대 등이 소나무와 함께 한옥의 참 멋을 선사한다. 대청마루에서 보내는 시간, 풍경소리, 스치는 바람은 특별하게 느껴진다. 객실은 정갈하고 편안하며, 천연 옥이 깔린 온돌방과 천기토로 만든 장작 찜질방은 건강한 여정을 선사한다. 다양한 전통 프로그램도 운영한다.",서울특별시 종로구 계동길 49-23,37.5801437,126.9861098
명동관광정보센터,특별한 체험을 하는 곳,2000,02-778-0333,"관광정보, 관광지, 관광코스정보, 교통정보, 국내여행정보, 맛집정보, 명동, 숙박정보, 여행지정보, 음식정보, 지역정보, 축제정보, 한복체험","명동 관광정보센터는 서울 중구 을지로 2가에 위치해 있는 관광안내소이다. 서비스 언어는 영어, 중국어, 일어이다. 외국인뿐만 아니라 서울시민에게도 관광, 축제, 쇼핑, 공연 등에 관한 서울의 정보를 빠르고 정확하게 제공한다.",서울특별시 중구 을지로 66,37.5655403,126.985069
서울신라호텔,서울 중심에 자리한 럭셔리 호텔,1900,02-2233-3131,"서울숙소, 숙박, 중구, 호캉스즐기기","서울 중심에 자리한 럭셔리 호텔인 서울 신라 호텔은 3호선 동대입구역 5번 출구에서 도보로 5분 거리에 있으며 명동과 동대문 방면으로 무료 셔틀버스를 운행하고 있다. 호텔에서 번화한 명동 거리까지는 차로 15분, 시청까지는 차로 약 20분이 소요된다.호텔 내에 유명 작가들의 조각상이 모여있는 야외조각공원과 겔랑 스파가 있어 여유로운 휴식 시간을 보낼 수 있으며 피트니스 센터, 사우나, 수영장 등도 있어 다양한 운동을 즐길 수 있다.
뿐만 아니라, 비즈니스 고객님들을 위한 미팅룸과 비즈니스 센터도 있으며 프런트데스크에서는 환전, 유료 세탁, 룸서비스 등을 이용할 수 있다. 투숙객에 한하여 무료 주차가 가능하며 유료로 발렛파킹을 이용할 수 있다.
객실에 따라 남산 또는 영빈관 전망을 감상할 수 있다. 럭셔리하고 모던한 인테리어가 돋보이는 모든 객실에는 TV, 미나바, 생수 등이 있으며 욕실에는 샤워부스, 욕조, 비데, 헤어드라이어 등이 완비되어 있고 이그제큐티브 이상 객실에서는 이규제큐티브 라운지를 이용할 수 있다.
호텔 내에 중식, 일식, 한식, 프렌치, 뷔페 등 다양한 메뉴를 선보이는 5개의 레스토랑과 1개의 바가 있어 다이닝 선택의 폭이 넓다. 매일 아침 조식은 1층 파크뷰에서 즉석에서 조리한 뷔페를 즐기실 수 있으며 별도의 요금이 발생한다.",서울특별시 중구 동호로 249,37.5567496,127.0060352
서촌게스트하우스[한국관광 품질인증/Korea Quality],재미난 일이 끊임없이 일어나는 서촌의 한옥,1800,02-473-9680,"마운틴뷰, 서울숙소, 서울여행, 서울한옥, 숙박, 조식가능, 품질인증업소_전체보기, 한국관광품질인증, 한국관광품질인증_한옥, 한옥","서울 종로 서촌에 위치한 서촌게스트하우스는 90년 된 한옥이자 2층 양옥이 함께 어우러진 집이다. 여행객은 1층 객실과 대청을 자유롭게 이용할 수 있고, 식사로 6첩 반상을 제공한다. 게스트하우스 부제 ‘재미난골’ 에서는 우리 전통의 멋을 알리기 위해 일년에 두 번 마당에서 판소리 공연을 펼치고, 국악 체험, 한복입기, 한식 만들기, 인왕산-북악산 성곽길 탐방, 경복궁 등 고궁투어, 전통시장 체험 등 다양한 프로그램도 제공하고 있다.",서울특별시 종로구 자하문로7길 28-3,37.5791028,126.9706697
